qno,question,opt1,opt2,opt3,opt4
1,Chlorophyll is a naturally occurring chelate compound in which central metal is,magnesium,copper,Calcium,iron
2,Entomology is the science that studies,Insects,Behavior of human being,The formation of rocks,The origin and history of technical and scientific terms
3,"Grand Central Terminal, Park Avenue, New York is the world's",largest railway station,highest railway station,longest railway station,None
4,Hitler party which came into power in 1933 is known as,Nazi Party,Labour Party,Ku-Klux-Klan,Democratic Party
5,Which of the following is a non metal that remains liquid at room temperature?,Bromine,Chlorine,Phosphorous,Helium
6,Which city is known as 'Electronic City of India'?,Bangalore,Gurugram,Delhi,Mumbai
7,The ratio of width of our National flag to its length is,02:03,03:05,02:04,03:04
8,The intersecting lines drawn on maps and globes are,geographic grids,longitudes,latitudes,None
9,'Dandia' is a popular dance of,Gujrat,Tamil Nadu,Uttar Pradesh,Punjab
10,The Indian Institute of Science is located at,Bangalore,Delhi,Mumbai,Madras
11,The Nobel Prize was started by which country?,Sweden,USA,Germany,United Kingdom
12,Space Research Centre ‘Vikram Sarabhai Space Centre is located at?,Kerala,Tamil Nadu,Karnataka,Maharastra
13,The metal whose salts are sensitive to light is?,Silver,Zinc,Copper,Aluminium
14, Tsunamis are not caused by,Hurricanes,Earthquake,Volcanic Erruption,Undersea landslides
15,The hottest planet in the solar system?,Venus,Mercury,Mars,Jupiter
